"Accepted Symbol" "Synonym Symbol" "Scientific Name" "Common Name" "State and Province" "Duration" "Growth Habit" "Native Status" "Active Growth Period" "Flower Color" "Flower Conspicuous" "Height  Mature (feet)" "Lifespan" "Drought Tolerance" "Shade Tolerance" "Bloom Period" 
"ACCO4" "" "Aconitum columbianum" "Columbian monkshood" "USA (AZ  CA  CO  IA  ID  MT  NM  NV  OR  SD  UT  WA  WY)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Blue" "Yes" "5.0" "Moderate" "Low" "Intermediate" "Early Summer" 
"AEFL" "" "Aesculus flava" "yellow buckeye" "USA (AL  DC  GA  IL  IN  KY  MD  MS  NC  NJ  NY  OH  PA  SC  TN  VA  WV)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "65" "Long" "Low" "Tolerant" "Late Spring" 
"AEGL" "" "Aesculus glabra" "Ohio buckeye" "USA (AL  AR  GA  IA  IL  IN  KS  KY  ME  MI  MN  MO  MS  NE  NH  NJ  NY  OH  OK  PA  TN  TX  VA  WI  WV)  CAN (ON)" "Perennial" "Tree" "L48 (N)  CAN (N)" "Spring and Summer" "Green" "Yes" "68" "Short" "Medium" "Tolerant" "Mid Spring" 
"AEPA" "" "Aesculus pavia" "red buckeye" "USA (AL  AR  FL  GA  IL  IN  KY  LA  MO  MS  NC  OH  OK  SC  TN  TX  VA  WV)  CAN (ON)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (I)" "Spring and Summer" "Red" "Yes" "25" "Long" "Low" "Tolerant" "Late Spring" 
"AESY" "" "Aesculus sylvatica" "painted buckeye" "USA (AL  GA  NC  SC  TN  VA)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "65" "Long" "Low" "Intermediate" "Mid Spring" 
"AGPA2" "" "Agastache parvifolia" "smallleaf giant hyssop" "USA (CA)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "Red" "Yes" "2.0" "Moderate" "High" "Intolerant" "Late Spring" 
"AGUR" "" "Agastache urticifolia" "nettleleaf giant hyssop" "USA (CA  CO  ID  MT  NV  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Red" "Yes" "5.0" "Long" "Low" "Intermediate" "Late Spring" 
"AGUT" "" "Agave utahensis" "Utah agave" "USA (AZ  CA  NV  UT)" "Perennial" "Subshrub  Shrub  Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Moderate" "High" "Intolerant" "Mid Spring" 
"AGAU2" "" "Agoseris aurantiaca" "orange agoseris" "USA (AK  AZ  CA  CO  ID  MT  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  NT  QC  YT)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Orange" "Yes" "1.0" "Short" "Medium" "Intolerant" "Mid Spring" 
"AGGL" "" "Agoseris glauca" "pale agoseris" "USA (AK  AZ  CA  CO  IA  ID  KS  MI  MN  MT  ND  NE  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  MB  NT  ON  SK)" "Perennial" "Forb/herb  Shrub  Subshrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Short" "Medium" "Intolerant" "Mid Spring" 
"AGGR" "" "Agoseris grandiflora" "bigflower agoseris" "USA (CA  ID  MT  NV  OR  UT  WA)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Yellow" "Yes" "1.8" "Short" "Medium" "Intolerant" "Spring" 
"AGPA6" "" "Agrimonia parviflora" "harvestlice" "USA (AL  AR  CT  DC  DE  GA  IA  IL  IN  KS  KY  LA  MA  MD  MI  MO  MS  NC  NE  NJ  NY  OH  OK  PA  SC  SD  TN  TX  VA  WI  WV)  CAN (ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "6.0" "Short" "Low" "Intermediate" "Mid Summer" 
"AGST" "" "Agrimonia striata" "roadside agrimony" "USA (AL  AZ  CO  CT  DE  GA  IA  KY  MA  MD  ME  MI  MN  MT  ND  NE  NH  NJ  NM  NY  OH  OK  PA  RI  SD  VT  WI  WV  WY)  CAN (AB  BC  MB  NB  NF  NS  ON  PE  QC  SK)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)  SPM (N)" "Spring and Summer" "Yellow" "Yes" "6.0" "Short" "Medium" "Tolerant" "Mid Summer" 
"ALSU" "" "Alisma subcordatum" "American water plantain" "USA (AL  AR  AZ  CA  CO  CT  DC  DE  GA  IA  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  MS  NC  ND  NE  NH  NJ  NM  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  VA  VT  WI  WV)  CAN (MB  NB  ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "0.5" "Moderate" "None" "Intolerant" "Late Spring" 
"ALAC4" "" "Allium acuminatum" "tapertip onion" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "1.0" "Short" "Medium" "Intolerant" "Summer" 
"ALDO" "" "Allium douglasii" "Douglas' onion" "USA (ID  OR  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "Purple" "Yes" "0.9" "Short" "Medium" "Intolerant" "Late Spring" 
"ALTE" "" "Allium textile" "textile onion" "USA (CO  IA  ID  KS  MN  MT  ND  NE  NM  NV  SD  UT  WA  WY)  CAN (AB  MB  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "White" "Yes" "1.0" "Short" "High" "Intermediate" "Mid Spring" 
"ALTO" "" "Allium tolmiei" "Tolmie's onion" "USA (CA  ID  NV  OR  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "Red" "Yes" "1.0" "Short" "High" "Intolerant" "Early Spring" 
"ALVA" "" "Allium validum" "Pacific onion" "USA (CA  ID  NV  OR  WA)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Purple" "Yes" "2.0" "Short" "Low" "Intermediate" "Late Spring" 
"AMAL2" "" "Amelanchier alnifolia" "Saskatoon serviceberry" "USA (AK  CA  CO  IA  ID  MN  MT  ND  NE  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  MB  NB  NT  ON  QC  SK  YT)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "15" "Short" "Low" "Intermediate" "Early Summer" 
"AMALS" "" "Amelanchier alnifolia var. semiintegrifolia" "Saskatoon serviceberry" "USA (AK  CA  OR  WA)  CAN (BC)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "20" "Long" "Low" "Intolerant" "Late Spring" 
"AMAR3" "" "Amelanchier arborea" "common serviceberry" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NE  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (NB  NS  ON  QC)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "36" "Moderate" "Low" "Tolerant" "Mid Spring" 
"AMCA4" "" "Amelanchier canadensis" "Canadian serviceberry" "USA (AL  CT  DC  DE  GA  MA  MD  ME  MS  NC  NH  NJ  NY  PA  RI  SC  TN  VA  WV)  CAN (NB  NS  ON  PE  QC)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "23" "Long" "Low" "Intermediate" "Mid Spring" 
"AMLA" "" "Amelanchier laevis" "Allegheny serviceberry" "USA (AL  CT  DC  DE  GA  IA  IL  IN  KY  MA  MD  ME  MI  MN  NC  NH  NJ  NY  OH  PA  RI  SC  TN  VA  VT  WA  WI  WV)  CAN (NB  NF  NS  ON  PE  QC)  FRA (SPM)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)  SPM (N)" "Spring and Summer" "White" "Yes" "35" "Short" "Medium" "Tolerant" "Early Spring" 
"AMOB2" "" "Amelanchier obovalis" "coastal serviceberry" "USA (AL  DE  GA  MA  MD  NC  NJ  NY  PA  SC  VA)" "Perennial" "Shrub" "L48 (N)" "Spring" "White" "Yes" "10" "Long" "Low" "Intolerant" "Early Spring" 
"AMSA" "" "Amelanchier sanguinea" "roundleaf serviceberry" "USA (CT  GA  IA  IL  IN  KY  MA  MD  ME  MI  MN  NC  ND  NH  NJ  NY  OH  PA  TN  VA  VT  WI  WV)  CAN (NB  NF  NS  ON  PE  QC)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "10" "Moderate" "Medium" "Tolerant" "Late Spring" 
"AMUT" "" "Amelanchier utahensis" "Utah serviceberry" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  TX  UT  WA  WY)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "15" "Long" "High" "Intermediate" "Late Spring" 
"AMUTU" "" "Amelanchier utahensis var. utahensis" "Utah serviceberry" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  TX  UT  WA  WY)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "15" "Long" "High" "Intolerant" "Late Spring" 
"AMCO" "" "Ammannia coccinea" "valley redstem" "USA (AL  AR  AZ  CA  DE  FL  GA  HI  IA  IL  IN  KS  KY  LA  MD  MN  MO  MS  NC  ND  NE  NJ  NM  OH  OK  PA  SC  SD  TN  TX  VA  WV)  USA+ (PR  VI)" "Annual" "Forb/herb  Subshrub" "L48 (N)  HI (I)  PR (N)  VI (N)" "Spring" "Purple" "Yes" "1.6" "" "Medium" "Intolerant" "Indeterminate" 
"AMCA6" "" "Amorpha canescens" "leadplant" "USA (AR  CO  IA  IL  IN  KS  LA  MI  MN  MO  MT  ND  NE  NM  OK  SD  TX  WI  WY)  CAN (MB  ON)" "Perennial" "Subshrub  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "4.0" "Long" "High" "Tolerant" "Early Summer" 
"AMGL2" "" "Amorpha glabra" "mountain false indigo" "USA (AL  GA  NC  SC  TN)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "Purple" "Yes" "16" "Long" "Medium" "Intermediate" "Mid Spring" 
"AMCO2" "" "Ampelopsis cordata" "heartleaf peppervine" "USA (AL  AR  CT  DE  FL  GA  IA  IL  IN  KS  KY  LA  MD  MO  MS  NC  NE  OH  OK  SC  TN  TX  VA  WV)" "Perennial" "Vine" "L48 (N)" "Spring and Summer" "White" "Yes" "2.0" "Moderate" "Low" "Tolerant" "Late Spring" 
"AMEL" "" "Amyris elemifera" "sea torchwood" "USA (FL)  USA+ (PR  VI)" "Perennial" "Tree  Shrub" "L48 (N)  PR (N)  VI (N)" "Fall" "White" "Yes" "16" "Long" "High" "Tolerant" "Indeterminate" 
"ANMA" "" "Anaphalis margaritacea" "western pearly everlasting" "USA (AK  AZ  CA  CO  CT  DE  IA  ID  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  MT  NC  NE  NH  NJ  NM  NV  NY  OH  OR  PA  RI  SD  TN  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  SPM (N)" "Spring and Summer" "Yellow" "Yes" "3.0" "Short" "Medium" "Intermediate" "Early Summer" 
"ANIN" "" "Andira inermis" "cabbagebark tree" "USA (FL)  USA+ (PR  VI)" "Perennial" "Tree" "L48 (N)  PR (N)  VI (N)" "Year Round" "White" "Yes" "90" "Long" "Medium" "Intolerant" "Summer" 
"ANMU" "" "Anemone multifida" "Pacific anemone" "USA (AK  AZ  CA  CO  ID  ME  MI  MN  MT  ND  NE  NM  NV  NY  OR  SD  UT  VT  WA  WI  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  QC  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.0" "Short" "Low" "Tolerant" "Early Summer" 
"ANCA10" "" "Anemopsis californica" "yerba mansa" "USA (AZ  CA  CO  KS  NE  NM  NV  OK  OR  TX  UT)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "White" "Yes" "1.5" "Long" "None" "Intolerant" "Early Spring" 
"ANAR3" "" "Angelica arguta" "Lyall's angelica" "USA (AK  CA  ID  MT  NV  OR  WA  WY)  CAN (AB  BC)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Summer" "White" "Yes" "6.0" "Moderate" "Low" "Intermediate" "Mid Spring" 
"ANTH2" "" "Anisacanthus thurberi" "Thurber's desert honeysuckle" "USA (AZ  NM)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "Red" "Yes" "4.5" "Long" "High" "Intolerant" "Mid Spring" 
"ANSQ" "" "Annona squamosa" "sugar apple" "USA (FL)  USA+ (PR  VI)" "Perennial" "Tree" "L48 (N)  PR (N)  VI (N)" "Summer and Fall" "Yellow" "Yes" "20" "Short" "High" "Intolerant" "Summer" 
"ANAN2" "" "Antennaria anaphaloides" "pearly pussytoes" "USA (CO  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "2.5" "Short" "Medium" "Intermediate" "Late Spring" 
"ANLU2" "" "Antennaria luzuloides" "rush pussytoes" "USA (CA  CO  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "2.0" "Long" "Medium" "Intolerant" "Late Spring" 
"APAM" "" "Apios americana" "groundnut" "USA (AL  AR  CO  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  ND  NE  NH  NJ  NY  OH  OK  PA  RI  SC  SD  TN  TX  VA  VT  WI  WV)  CAN (NB  NS  ON  PE  QC)" "Perennial" "Vine  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "1.0" "Moderate" "Low" "Tolerant" "Late Spring" 
"AQCO" "" "Aquilegia coerulea" "Colorado blue columbine" "USA (AZ  CO  ID  MT  NM  NV  SD  UT  WY)" "Perennial" "Forb/herb" "L48 (N)" "" "" "" "" "" "" "" "" 
"AQCO" "AQCA2" "Aquilegia caerulea" "" "" "" "" "" "Spring and Summer" "Blue" "Yes" "2.0" "Short" "Low" "Tolerant" "Late Spring" 
"AQFO" "" "Aquilegia formosa" "western columbine" "USA (AK  CA  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Red" "Yes" "3.0" "Short" "Medium" "Tolerant" "Spring" 
"ARDI2" "" "Arabis ??divaricarpa" "spreadingpod rockcress" "USA (AK  CA  CO  IA  ID  ME  MI  MN  MT  ND  NE  NH  NM  NV  NY  OH  OR  SD  UT  VT  WA  WI  WY)  CAN (AB  BC  MB  NB  NS  NT  ON  QC  SK  YT)" "Biennial  Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "3.0" "Short" "High" "Tolerant" "Late Spring" 
"ARDR" "" "Arabis drummondii" "Drummond's rockcress" "USA (AK  AZ  CA  CO  CT  DE  IA  ID  IL  IN  MA  ME  MI  MN  MT  ND  NE  NH  NJ  NM  NV  NY  OH  OR  RI  SD  UT  VT  WA  WI  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  QC  SK  YT)" "Biennial  Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "2.0" "Short" "Low" "Intermediate" "Late Spring" 
"ARHO2" "" "Arabis holboellii" "Holboell's rockcress" "USA (AK  AZ  CA  CO  ID  MI  MN  MT  ND  NE  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  MB  NT  ON  QC  SK  YT)  DEN (GL)" "Biennial  Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  GL (N)" "Spring and Summer" "Purple" "Yes" "2.0" "Short" "Medium" "Intermediate" "Mid Spring" 
"ARNU2" "" "Aralia nudicaulis" "wild sarsaparilla" "USA (CO  CT  DC  DE  GA  IA  ID  IL  IN  KY  MA  MD  ME  MI  MN  MO  MT  NC  ND  NE  NH  NJ  NY  OH  PA  RI  SC  SD  TN  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)  FRA (SPM)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)  SPM (N)" "Spring and Summer" "White" "Yes" "1.5" "Moderate" "Medium" "Tolerant" "Late Spring" 
"ARSP2" "" "Aralia spinosa" "devil's walkingstick" "USA (AL  AR  CT  DC  DE  FL  GA  IL  IN  KY  LA  MA  MD  ME  MO  MS  NC  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  WV)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "20" "Moderate" "Low" "Intolerant" "Early Summer" 
"ARAR2" "" "Arbutus arizonica" "Arizona madrone" "USA (AZ  NM)" "Perennial" "Tree" "L48 (N)" "Spring  Summer  Fall" "White" "Yes" "30" "Long" "High" "Intolerant" "Late Spring" 
"ARME" "" "Arbutus menziesii" "Pacific madrone" "USA (CA  OR  WA)  CAN (BC)" "Perennial" "Tree" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "80" "Long" "High" "Intermediate" "Mid Spring" 
"ARCO3" "" "Arctostaphylos columbiana" "hairy manzanita" "USA (CA  OR  WA)  CAN (BC)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "6.0" "Moderate" "Low" "Intermediate" "Early Spring" 
"ARGL4" "" "Arctostaphylos glauca" "bigberry manzanita" "USA (CA)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring" "White" "Yes" "18" "Long" "High" "Intermediate" "Late Winter" 
"ARUV" "" "Arctostaphylos uva-ursi" "kinnikinnick" "USA (AK  AZ  CA  CO  CT  DE  IA  ID  IL  IN  MA  MD  ME  MI  MN  MT  ND  NH  NJ  NM  NV  NY  OH  OR  PA  RI  SD  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  SK  YT)  DEN (GL)  FRA (SPM)" "Perennial" "Subshrub  Shrub" "L48 (N)  AK (N)  CAN (N)  GL (N)  SPM (N)" "Spring and Summer" "Purple" "Yes" "0.5" "Long" "High" "Intermediate" "Late Spring" 
"ARPLP" "" "Argemone pleiacantha ssp. pinnatisecta" "southwestern pricklypoppy" "USA (NM)" "Perennial" "Forb/herb" "L48 (N)" "Spring  Summer  Fall" "White" "Yes" "0.6" "Short" "High" "Intolerant" "Indeterminate" 
"ARPO2" "" "Argemone polyanthemos" "crested pricklypoppy" "USA (CO  IA  ID  IL  IN  KS  MT  ND  NE  NM  OK  SD  TX  UT  WA  WY)" "Annual  Biennial  Perennial" "Forb/herb" "L48 (N)" "Summer" "White" "Yes" "3.0" "Long" "High" "Intolerant" "Mid Spring" 
"ARAN7" "" "Argentina anserina" "silverweed cinquefoil" "USA (AK  AZ  CA  CO  CT  IA  ID  IL  IN  MA  MD  ME  MI  MN  MT  ND  NE  NH  NJ  NM  NV  NY  OH  OR  PA  RI  SD  TN  UT  VT  WA  WI  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  SPM (N)" "Spring and Summer" "Yellow" "Yes" "0.5" "Short" "Low" "Tolerant" "Spring" 
"ARTR" "" "Arisaema triphyllum" "Jack in the pulpit" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  ND  NE  NH  NJ  NY  OH  OK  PA  RI  SC  SD  TN  TX  VA  VT  WI  WV)  CAN (MB  NB  NS  ON  PE  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "1.5" "Moderate" "Low" "Tolerant" "Early Summer" 
"ARMA6" "" "Armeria maritima" "thrift seapink" "USA (AK  CA  CO  OR  PA  WA)  CAN (BC  LB  MB  NF  NT  NU  ON  QC  SK  YT)  DEN (GL)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  AK (N)  CAN (N)  GL (N)" "Spring  Summer  Fall" "Purple" "Yes" "0.9" "Moderate" "Low" "Intolerant" "Late Spring" 
"ARAM2" "" "Arnica amplexicaulis" "clasping arnica" "USA (AK  CA  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC  NT  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.5" "Short" "Low" "Tolerant" "Summer" 
"ARCH3" "" "Arnica chamissonis" "Chamisso arnica" "USA (AK  AZ  CA  CO  ID  MT  NM  NV  OK  OR  UT  WA  WY)  CAN (AB  BC  MB  NT  ON  QC  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.5" "Short" "None" "Intermediate" "Early Summer" 
"ARCO9" "" "Arnica cordifolia" "heartleaf arnica" "USA (AK  AZ  CA  CO  ID  MI  MT  ND  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  MB  NT  ON  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.5" "Short" "Low" "Tolerant" "Late Spring" 
"ARDI7" "" "Arnica ??diversifolia" "rayless arnica" "USA (AK  CA  ID  MT  NV  OR  UT  WA)" "Perennial" "Forb/herb" "L48 (N)  AK (N)" "Summer" "Yellow" "Yes" "1.3" "Moderate" "None" "Intermediate" "Summer" 
"ARFR2" "" "Arnica frigida" "snow arnica" "USA (AK)  CAN (BC  NF  NT  QC  YT)" "Perennial" "Forb/herb" "AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Short" "None" "Tolerant" "Summer" 
"ARFU3" "" "Arnica fulgens" "foothill arnica" "USA (CA  CO  ID  MT  ND  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  MB  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.0" "Moderate" "Low" "Tolerant" "Mid Spring" 
"ARLA8" "" "Arnica latifolia" "broadleaf arnica" "USA (AK  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)  CAN (AB  BC  NT  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.0" "Moderate" "None" "Intermediate" "Early Summer" 
